speed_rpm,torque_nm,efficiency_percent
63.3245382585752,148.39285714285714,51.0
63.3245382585752,148.92857142857142,51.0
63.3245382585752,149.46428571428572,51.0
63.3245382585752,150.0,51.0
63.3245382585752,150.53571428571428,51.0
63.3245382585752,151.07142857142858,51.0
63.3245382585752,151.60714285714286,51.0
63.3245382585752,152.14285714285714,51.0
63.3245382585752,152.67857142857142,51.0
63.3245382585752,153.21428571428572,51.0
63.3245382585752,153.75,51.0
63.3245382585752,154.28571428571428,51.0
63.3245382585752,154.82142857142858,51.0
63.3245382585752,155.35714285714286,51.0
63.3245382585752,155.89285714285714,51.0
63.3245382585752,156.42857142857144,51.0
63.3245382585752,156.96428571428572,51.0
63.3245382585752,157.5,51.0
63.3245382585752,158.03571428571428,51.0
63.3245382585752,158.57142857142856,51.0
63.3245382585752,159.10714285714286,51.0
63.3245382585752,159.64285714285714,51.0
63.3245382585752,160.17857142857142,51.0
63.3245382585752,160.71428571428572,51.0
63.3245382585752,161.25,51.0
63.3245382585752,161.78571428571428,51.0
63.3245382585752,162.32142857142858,51.0
79.155672823219,7.5,51.0
79.155672823219,8.035714285714286,51.0
79.155672823219,162.85714285714286,51.0
94.9868073878628,7.5,51.0
94.9868073878628,163.39285714285714,51.0
94.9868073878628,163.92857142857142,51.0
110.8179419525066,6.964285714285714,51.0
110.8179419525066,163.92857142857142,51.0
110.8179419525066,164.46428571428572,51.0
126.6490765171504,6.428571428571428,51.0
126.6490765171504,6.964285714285714,51.0
126.6490765171504,164.46428571428572,51.0
126.6490765171504,165.0,51.0
142.48021108179418,6.428571428571428,51.0
142.48021108179418,165.0,51.0
142.48021108179418,165.53571428571428,51.0
158.311345646438,5.892857142857143,51.0
158.311345646438,6.428571428571428,51.0
158.311345646438,166.07142857142858,51.0
174.1424802110818,166.60714285714286,51.0
189.9736147757256,5.357142857142857,51.0
189.9736147757256,5.892857142857143,51.0
189.9736147757256,167.14285714285714,51.0
205.80474934036937,5.357142857142857,51.0
205.80474934036937,167.67857142857144,51.0
221.6358839050132,4.821428571428571,51.0
221.6358839050132,168.21428571428572,51.0
221.6358839050132,168.75,51.0
237.467018469657,4.821428571428571,51.0
237.467018469657,168.75,51.0
237.467018469657,169.28571428571428,51.0
253.2981530343008,4.285714285714286,51.0
253.2981530343008,169.82142857142856,51.0
269.1292875989446,3.75,51.0
269.1292875989446,4.285714285714286,51.0
269.1292875989446,170.35714285714286,51.0
284.9604221635884,3.75,51.0
284.9604221635884,170.89285714285714,51.0
300.7915567282322,3.214285714285714,51.0
300.7915567282322,171.42857142857142,51.0
300.7915567282322,171.96428571428572,51.0
316.622691292876,3.214285714285714,51.0
316.622691292876,171.96428571428572,51.0
316.622691292876,172.5,51.0
332.45382585751975,2.6785714285714284,51.0
332.45382585751975,172.5,51.0
332.45382585751975,173.03571428571428,51.0
348.2849604221636,2.6785714285714284,51.0
348.2849604221636,173.03571428571428,51.0
348.2849604221636,173.57142857142858,51.0
364.1160949868074,2.142857142857143,51.0
364.1160949868074,174.10714285714286,51.0
379.9472295514512,2.142857142857143,51.0
379.9472295514512,174.64285714285714,51.0
395.77836411609496,1.607142857142857,51.0
395.77836411609496,175.17857142857142,51.0
411.60949868073874,1.0714285714285714,51.0
411.60949868073874,175.71428571428572,51.0
427.4406332453826,1.0714285714285714,51.0
427.4406332453826,176.25,51.0
443.2717678100264,0.5357142857142857,51.0
443.2717678100264,176.78571428571428,51.0
443.2717678100264,177.32142857142858,51.0
459.1029023746702,0.5357142857142857,51.0
459.1029023746702,177.32142857142858,51.0
459.1029023746702,177.85714285714286,51.0
474.934036939314,0.0,51.0
474.934036939314,178.39285714285714,51.0
490.7651715039578,0.0,51.0
506.5963060686016,0.0,51.0
522.4274406332454,0.0,51.0
538.2585751978892,0.0,51.0
554.089709762533,0.0,51.0
569.9208443271767,0.0,51.0
585.7519788918206,0.0,51.0
601.5831134564644,0.0,51.0
617.4142480211082,0.0,51.0
633.245382585752,0.0,51.0
649.0765171503957,0.0,51.0
664.9076517150395,0.0,51.0
680.7387862796834,0.0,51.0
696.5699208443272,0.0,51.0
712.4010554089709,0.0,51.0
728.2321899736148,0.0,51.0
744.0633245382586,0.0,51.0
759.8944591029024,0.0,51.0
759.8944591029024,179.46428571428572,51.0
775.7255936675461,0.0,51.0
775.7255936675461,179.46428571428572,51.0
791.5567282321899,0.0,51.0
807.3878627968338,0.0,51.0
823.2189973614775,0.0,51.0
839.0501319261214,0.0,51.0
854.8812664907653,0.0,51.0
870.7124010554089,0.0,51.0
886.5435356200528,0.0,51.0
902.3746701846966,0.0,51.0
918.2058047493404,0.0,51.0
934.036939313984,0.0,51.0
949.868073878628,0.0,51.0
965.6992084432716,0.0,51.0
981.5303430079156,0.0,51.0
997.3614775725596,0.0,51.0
1994.722955145119,0.0,51.0
1994.722955145119,2.142857142857143,51.0
2010.5540897097624,2.142857142857143,51.0
2058.047493403694,0.0,70.0
2058.047493403694,2.142857142857143,70.0
2058.047493403694,4.821428571428571,70.0
2073.8786279683377,0.0,70.0
2073.8786279683377,2.142857142857143,70.0
2073.8786279683377,4.821428571428571,70.0
2089.7097625329816,0.0,70.0
2089.7097625329816,2.142857142857143,70.0
2089.7097625329816,4.821428571428571,70.0
2105.540897097625,0.0,70.0
2105.540897097625,2.142857142857143,70.0
2105.540897097625,4.821428571428571,70.0
2121.372031662269,0.0,70.0
2121.372031662269,2.142857142857143,70.0
2121.372031662269,4.821428571428571,70.0
2137.2031662269133,0.0,70.0
2137.2031662269133,2.142857142857143,70.0
2137.2031662269133,4.821428571428571,70.0
2153.0343007915567,0.0,70.0
2153.0343007915567,2.142857142857143,70.0
2153.0343007915567,4.821428571428571,70.0
2168.8654353562006,0.0,70.0
2168.8654353562006,2.142857142857143,70.0
2168.8654353562006,4.821428571428571,70.0
2184.6965699208445,0.0,70.0
2184.6965699208445,2.142857142857143,70.0
2184.6965699208445,4.821428571428571,70.0
2200.5277044854884,0.0,70.0
2200.5277044854884,2.142857142857143,70.0
2200.5277044854884,4.821428571428571,70.0
2216.358839050132,0.0,70.0
2216.358839050132,2.142857142857143,70.0
2216.358839050132,4.821428571428571,70.0
2232.189973614776,0.0,70.0
2232.189973614776,2.142857142857143,70.0
2232.189973614776,4.821428571428571,70.0
2248.02110817942,0.0,70.0
2248.02110817942,2.142857142857143,70.0
2248.02110817942,4.821428571428571,70.0
2263.8522427440635,0.0,70.0
2263.8522427440635,2.142857142857143,70.0
2263.8522427440635,4.821428571428571,70.0
2279.683377308707,0.0,70.0
2279.683377308707,2.142857142857143,70.0
2279.683377308707,4.821428571428571,70.0
2295.514511873351,0.0,70.0
2295.514511873351,2.142857142857143,70.0
2311.3456464379947,0.0,70.0
2311.3456464379947,2.142857142857143,70.0
2327.1767810026386,0.0,70.0
2327.1767810026386,2.142857142857143,70.0
2343.0079155672825,0.0,70.0
2343.0079155672825,2.142857142857143,70.0
2358.839050131926,0.0,70.0
2358.839050131926,2.142857142857143,70.0
2358.839050131926,5.357142857142857,70.0
2374.67018469657,0.0,70.0
2374.67018469657,2.142857142857143,70.0
2374.67018469657,5.357142857142857,70.0
2390.5013192612137,0.0,70.0
2390.5013192612137,2.142857142857143,70.0
2390.5013192612137,5.357142857142857,70.0
2406.3324538258576,0.0,70.0
2406.3324538258576,2.142857142857143,70.0
2406.3324538258576,5.357142857142857,70.0
2422.163588390501,0.0,70.0
2422.163588390501,2.142857142857143,70.0
2422.163588390501,5.357142857142857,70.0
2437.9947229551453,0.0,70.0
2437.9947229551453,2.142857142857143,70.0
2437.9947229551453,5.357142857142857,70.0
2453.8258575197888,0.0,70.0
2453.8258575197888,2.142857142857143,70.0
2453.8258575197888,5.357142857142857,70.0
2469.6569920844327,0.0,70.0
2469.6569920844327,2.142857142857143,70.0
2469.6569920844327,5.357142857142857,70.0
2485.4881266490765,0.0,70.0
2485.4881266490765,2.142857142857143,70.0
2485.4881266490765,5.357142857142857,70.0
2501.3192612137204,0.0,70.0
2501.3192612137204,2.142857142857143,70.0
2501.3192612137204,5.357142857142857,70.0
2517.150395778364,0.0,70.0
2517.150395778364,2.142857142857143,70.0
2517.150395778364,5.357142857142857,70.0
2532.981530343008,0.0,70.0
2532.981530343008,2.142857142857143,70.0
2548.812664907652,0.0,70.0
2548.812664907652,2.142857142857143,70.0
2564.6437994722955,0.0,70.0
2564.6437994722955,2.142857142857143,70.0
2580.4749340369394,0.0,70.0
2580.4749340369394,2.142857142857143,70.0
2596.306068601583,0.0,70.0
2596.306068601583,2.142857142857143,70.0
2612.1372031662268,0.0,70.0
2612.1372031662268,2.142857142857143,70.0
2627.96833773087,0.0,70.0
2627.96833773087,2.142857142857143,70.0
2643.7994722955145,0.0,70.0
2643.7994722955145,2.142857142857143,70.0
2659.630606860158,0.0,70.0
2659.630606860158,2.142857142857143,70.0
2675.4617414248023,0.0,70.0
